startstationname,endstationname,value
Pershing Square South,W 33 St & 7 Ave,4140
1 Ave & E 30 St,W 33 St & 7 Ave,4137
Greenwich Ave & 8 Ave,W 20 St & 11 Ave,4135
Cooper Square & Astor Pl,E 6 St & Avenue B,4134
8 Ave & W 33 St,W 43 St & 10 Ave,4133
E 47 St & Park Ave,Broadway & W 32 St,4131
Vernon Blvd & 50 Ave,Huron St & Franklin St,4112
Broadway & W 29 St,Pershing Square North,4110
12 Ave & W 40 St,Little West St & 1 Pl,4109
Cleveland Pl & Spring St,E 17 St & Broadway,4105
Vernon Blvd & 50 Ave,India St & Manhattan Ave,4104
Central Park West & W 85 St,5 Ave & E 73 St,4098
W 18 St & 6 Ave,Pershing Square North,4098
Barclay St & Church St,Leonard St & Church St,4093
W 20 St & 8 Ave,W 20 St & 11 Ave,4089
Broadway & W 60 St,Columbus Ave & W 72 St,4087
E 6 St & Avenue B,Cooper Square & E 7 St,4084
Atlantic Ave & Furman St,Atlantic Ave & Furman St,4078
Amsterdam Ave & W 73 St,W 84 St & Broadway,4076
W 43 St & 10 Ave,8 Ave & W 33 St,4070
W 45 St & 8 Ave,8 Ave & W 52 St,4070
Bank St & Washington St,West St & Chambers St,4068
University Pl & E 14 St,W 13 St & 6 Ave,4066
Lafayette St & Jersey St,Broadway & E 14 St,4065
5 Ave & E 78 St,Central Park West & W 85 St,4065
Clinton St & Grand St,Henry St & Grand St,4064
W 31 St & 7 Ave,Lexington Ave & E 24 St,4058
Grand Army Plaza & Central Park S,Central Park North & Adam Clayton Powell Blvd,4056
University Pl & E 14 St,University Pl & E 8 St,4051
Central Park S & 6 Ave,5 Ave & E 93 St,4049
Broadway & E 14 St,Great Jones St,4048
Metropolitan Ave & Meeker Ave,Metropolitan Ave & Bedford Ave,4047
Lafayette Ave & Classon Ave,Emerson Pl & Myrtle Ave,4046
Barrow St & Hudson St,Carmine St & 6 Ave,4046
E 32 St & Park Ave,W 33 St & 7 Ave,4034
W 41 St & 8 Ave,8 Ave & W 52 St,4031
5 Ave & E 88 St,Central Park West & W 100 St,4031
W 13 St & Hudson St,Carmine St & 6 Ave,4028
Broadway & W 60 St,Grand Army Plaza & Central Park S,4024
E 17 St & Broadway,1 Ave & E 16 St,4000
W 20 St & 11 Ave,12 Ave & W 40 St,3994
W 31 St & 7 Ave,E 30 St & Park Ave S,3992
Pershing Square South,Broadway & W 32 St,3985
DeKalb Ave & Hudson Ave,Clinton Ave & Myrtle Ave,3984
West St & Chambers St,Bank St & Washington St,3982
W 52 St & 6 Ave,W 33 St & 7 Ave,3969
E 20 St & Park Ave,E 20 St & 2 Ave,3968
Mott St & Prince St,MacDougal St & Prince St,3966
5 Ave & E 78 St,5 Ave & E 73 St,3965
West St & Chambers St,11 Ave & W 27 St,3961
Christopher St & Greenwich St,Carmine St & 6 Ave,3955
Barrow St & Hudson St,Bank St & Hudson St,3955
Greenpoint Ave & Manhattan Ave,Vernon Blvd & 50 Ave,3954
W 42 St & Dyer Ave,11 Ave & W 59 St,3950
Broadway & E 22 St,9 Ave & W 22 St,3948
W 22 St & 10 Ave,W 24 St & 7 Ave,3947
W 21 St & 6 Ave,Pershing Square North,3944
Greenwich Ave & 8 Ave,University Pl & E 14 St,3944
South End Ave & Liberty St,12 Ave & W 40 St,3940
W 63 St & Broadway,9 Ave & W 45 St,3937
9 Ave & W 22 St,Broadway & E 22 St,3936
E 47 St & Park Ave,FDR Drive & E 35 St,3936
W 25 St & 6 Ave,W 27 St & 10 Ave,3936
South End Ave & Liberty St,Liberty St & Broadway,3931
Central Park West & W 72 St,5 Ave & E 78 St,3924
Fulton St & Utica Ave,Lewis Ave & Madison St,3917
Kent Ave & S 11 St,N 6 St & Bedford Ave,3913
E 12 St & 3 Ave,Washington Pl & Broadway,3909
Lexington Ave & E 29 St,W 31 St & 7 Ave,3908
8 Ave & W 31 St,8 Ave & W 52 St,3907
N 6 St & Bedford Ave,Kent Ave & S 11 St,3907
Broadway & Battery Pl,West St & Chambers St,3899
E 81 St & York Ave,E 85 St & 3 Ave,3898
Pershing Square South,W 41 St & 8 Ave,3898
Broadway & W 41 St,11 Ave & W 41 St,3896
W 27 St & 10 Ave,W 24 St & 7 Ave,3896
Broadway & W 60 St,Central Park West & W 72 St,3891
E 9 St & Avenue C,Lafayette St & E 8 St,3890
Broadway & E 22 St,W 22 St & 10 Ave,3883
Central Park West & W 85 St,Broadway & W 60 St,3882
Greenwich St & W Houston St,South End Ave & Liberty St,3879
Broadway & E 14 St,E 9 St & Avenue C,3876
Greenwich Ave & 8 Ave,W 22 St & 8 Ave,3876
W 34 St & 11 Ave,W 20 St & 11 Ave,3873
Graham Ave & Herbert St,Graham Ave & Conselyea St,3871
8 Ave & W 31 St,W 20 St & 11 Ave,3870
Amsterdam Ave & W 73 St,W 84 St & Columbus Ave,3866
Pershing Square North,E 25 St & 2 Ave,3865
9 Ave & W 45 St,9 Ave & W 22 St,3865
Broadway & E 22 St,W 21 St & 6 Ave,3863
West St & Chambers St,Vesey Pl & River Terrace,3861
W 38 St & 8 Ave,8 Ave & W 52 St,3860
W 34 St & 11 Ave,12 Ave & W 40 St,3859
W 24 St & 7 Ave,W 26 St & 10 Ave,3858
Vesey Pl & River Terrace,12 Ave & W 40 St,3858
St Marks Pl & 1 Ave,Lafayette St & E 8 St,3849
Murray St & West St,Little West St & 1 Pl,3849
Suffolk St & Stanton St,Lafayette St & Jersey St,3849
Broadway & W 60 St,5 Ave & E 88 St,3848
FDR Drive & E 35 St,Pershing Square North,3847
West St & Chambers St,Bus Slip & State St,3844
Broadway & W 51 St,E 47 St & Park Ave,3836
3 St & Prospect Park West,3 St & Prospect Park West,3833
Centre St & Chambers St,Cleveland Pl & Spring St,3832
Centre St & Chambers St,Murray St & West St,3830
W 34 St & 11 Ave,West St & Chambers St,3830
Columbus Ave & W 72 St,Broadway & W 58 St,3829
Canal St & Rutgers St,Canal St & Rutgers St,3828
1 Ave & E 16 St,E 27 St & 1 Ave,3822
Henry St & Degraw St,Clinton St & Joralemon St,3819
Greenwich St & W Houston St,Vesey Pl & River Terrace,3816
E 7 St & Avenue A,Great Jones St,3815
Christopher St & Greenwich St,Greenwich St & W Houston St,3814
E 15 St & 3 Ave,E 17 St & Broadway,3811
11 Ave & W 41 St,W 34 St & 11 Ave,3810
11 Ave & W 27 St,West St & Chambers St,3808
8 Ave & W 16 St,8 Ave & W 31 St,3806
N 6 St & Bedford Ave,Broadway & Berry St,3801
W 27 St & 10 Ave,8 Ave & W 31 St,3794
South End Ave & Liberty St,Greenwich St & W Houston St,3794
University Pl & E 14 St,Sullivan St & Washington Sq,3793
Central Park West & W 68 St,Central Park West & W 85 St,3792
Vesey Pl & River Terrace,Christopher St & Greenwich St,3791
11 Ave & W 41 St,Pershing Square North,3790
5 Ave & E 88 St,Central Park W & W 96 St,3784
W 47 St & 10 Ave,8 Ave & W 33 St,3780
E 20 St & FDR Drive,E 15 St & 3 Ave,3777
W 26 St & 8 Ave,8 Ave & W 31 St,3773
W 26 St & 10 Ave,8 Ave & W 31 St,3769
Central Park West & W 68 St,5 Ave & E 73 St,3768
Broadway & E 14 St,W 13 St & 6 Ave,3767
W 41 St & 8 Ave,W 49 St & 8 Ave,3766
Broadway & Roebling St,Kent Ave & S 11 St,3766
DeKalb Ave & Hudson Ave,Adelphi St & Myrtle Ave,3764
Amsterdam Ave & W 73 St,W 76 St & Columbus Ave,3762
W 38 St & 8 Ave,Broadway & W 29 St,3762
E 20 St & Park Ave,E 20 St & FDR Drive,3761
W 43 St & 6 Ave,W 33 St & 7 Ave,3760
Clinton St & Tillary St,Centre St & Chambers St,3749
W 20 St & 11 Ave,W 24 St & 7 Ave,3743
Carmine St & 6 Ave,University Pl & E 14 St,3742
W 21 St & 6 Ave,W 27 St & 10 Ave,3731
St Marks Pl & 1 Ave,Broadway & E 14 St,3728
Washington St & Gansevoort St,South End Ave & Liberty St,3727
3 St & Prospect Park West,West Drive & Prospect Park West,3726
9 Ave & W 22 St,8 Ave & W 31 St,3723
Pershing Square North,W 21 St & 6 Ave,3722
Broadway & Battery Pl,Broadway & Battery Pl,3720
Liberty St & Broadway,Maiden Ln & Pearl St,3718
5 Ave & E 29 St,Broadway & E 22 St,3718
S 4 St & Wythe Ave,Berry St & N 8 St,3705
Columbus Ave & W 72 St,Grand Army Plaza & Central Park S,3704
W 16 St & The High Line,W 22 St & 10 Ave,3700
W 13 St & Hudson St,Christopher St & Greenwich St,3699
11 Ave & W 59 St,8 Ave & W 33 St,3690
E 48 St & 5 Ave,W 33 St & 7 Ave,3689
E 39 St & 2 Ave,W 41 St & 8 Ave,3689
Madison St & Montgomery St,Canal St & Rutgers St,3686
8 Ave & W 31 St,9 Ave & W 18 St,3685
44 Dr & Jackson Ave,46 Ave & 5 St,3682
Liberty St & Broadway,Pearl St & Hanover Square,3680
5 Ave & E 73 St,Central Park West & W 85 St,3680
11 Ave & W 59 St,W 42 St & Dyer Ave,3676
E 12 St & 3 Ave,E 9 St & Avenue C,3666
6 Ave & W 33 St,W 41 St & 8 Ave,3664
Barrow St & Hudson St,8 Ave & W 31 St,3657
West Thames St,West Thames St,3653
Cleveland Pl & Spring St,Broadway & E 14 St,3648
E 24 St & Park Ave S,E 17 St & Broadway,3648
W 21 St & 6 Ave,E 20 St & 2 Ave,3647
Greenwich Ave & 8 Ave,8 Ave & W 31 St,3643
Barclay St & Church St,Lispenard St & Broadway,3640
Pier 40 - Hudson River Park,Vesey Pl & River Terrace,3639
Stanton St & Chrystie St,Allen St & Hester St,3633
Pershing Square North,W 42 St & 8 Ave,3633
Cleveland Pl & Spring St,Cleveland Pl & Spring St,3632
Broadway & E 14 St,University Pl & E 8 St,3632
W 27 St & 7 Ave,Pershing Square North,3630
W 27 St & 7 Ave,W 38 St & 8 Ave,3620
W 21 St & 6 Ave,W 4 St & 7 Ave S,3617
W 31 St & 7 Ave,E 31 St & 3 Ave,3616
W 21 St & 6 Ave,W 31 St & 7 Ave,3612
Division St & Bowery,Canal St & Rutgers St,3611
Central Park West & W 68 St,Central Park West & W 72 St,3611
12 Ave & W 40 St,South End Ave & Liberty St,3610
Lexington Ave & E 29 St,Pershing Square North,3608
Macon St & Nostrand Ave,Halsey St & Tompkins Ave,3607
University Pl & E 14 St,Carmine St & 6 Ave,3606
Carmine St & 6 Ave,W 13 St & 6 Ave,3604
Broadway & W 51 St,W 52 St & 5 Ave,3601
E 20 St & 2 Ave,E 15 St & 3 Ave,3599
Washington Pl & Broadway,E 12 St & 3 Ave,3596
8 Ave & W 31 St,W 49 St & 8 Ave,3593
Pier 40 - Hudson River Park,Pier 40 - Hudson River Park,3592
Broadway & W 58 St,E 58 St & 3 Ave,3591
W 38 St & 8 Ave,Broadway & E 22 St,3588
W 16 St & The High Line,West St & Chambers St,3583
E 31 St & 3 Ave,E 39 St & 3 Ave,3583
E 39 St & 2 Ave,E 25 St & 2 Ave,3582
Lewis Ave & Madison St,Fulton St & Utica Ave,3582
Great Jones St,E 2 St & Avenue B,3581
E 32 St & Park Ave,Broadway & W 32 St,3581
Central Park West & W 68 St,5 Ave & E 88 St,3577
Broadway & E 14 St,St Marks Pl & 1 Ave,3572
E 11 St & 2 Ave,E 17 St & Broadway,3571
E 25 St & 2 Ave,W 31 St & 7 Ave,3567
W 27 St & 7 Ave,W 27 St & 10 Ave,3566
E 47 St & Park Ave,Broadway & W 51 St,3563
South End Ave & Liberty St,South St & Gouverneur Ln,3563
University Pl & E 14 St,W 4 St & 7 Ave S,3563
9 Ave & W 45 St,W 44 St & 5 Ave,3561
E 39 St & 2 Ave,2 Ave & E 31 St,3561
Greenwich Ave & 8 Ave,9 Ave & W 22 St,3561
Douglass St & 4 Ave,Dean St & 4 Ave,3560
Murray St & West St,West Thames St,3556
W 17 St & 8 Ave,8 Ave & W 31 St,3551
Broadway & E 14 St,E 11 St & 2 Ave,3550
W 45 St & 8 Ave,8 Ave & W 33 St,3549
Carmine St & 6 Ave,Carmine St & 6 Ave,3549
6 Ave & W 33 St,Broadway & W 41 St,3548
E 17 St & Broadway,6 Ave & W 33 St,3547
E 6 St & Avenue B,Cooper Square & Astor Pl,3547
Broadway & W 58 St,Broadway & W 51 St,3546
W 84 St & Columbus Ave,Amsterdam Ave & W 73 St,3545
W 46 St & 11 Ave,8 Ave & W 33 St,3541
Lafayette Ave & St James Pl,DeKalb Ave & Hudson Ave,3540
W 26 St & 8 Ave,W 38 St & 8 Ave,3540
9 Ave & W 22 St,W 13 St & Hudson St,3540
University Pl & E 14 St,W 21 St & 6 Ave,3539
Riverside Blvd & W 67 St,W 70 St & Amsterdam Ave,3536
E 19 St & 3 Ave,E 17 St & Broadway,3533
E 25 St & 2 Ave,E 11 St & 2 Ave,3533
Vesey Pl & River Terrace,Bus Slip & State St,3533
Plaza St West & Flatbush Ave,West Drive & Prospect Park West,3529
E 13 St & Avenue A,University Pl & E 14 St,3523
E 47 St & Park Ave,E 58 St & 3 Ave,3523
W 45 St & 6 Ave,W 33 St & 7 Ave,3520
DeKalb Ave & Hudson Ave,DeKalb Ave & S Portland Ave,3519
W 20 St & 11 Ave,9 Ave & W 22 St,3517
W 4 St & 7 Ave S,Christopher St & Greenwich St,3516
E 20 St & 2 Ave,W 21 St & 6 Ave,3516
Central Park West & W 72 St,Central Park West & W 85 St,3515
Peck Slip & Front St,Peck Slip & Front St,3512
W 31 St & 7 Ave,W 24 St & 7 Ave,3505
Central Park W & W 96 St,Central Park S & 6 Ave,3504
Clark St & Henry St,Old Fulton St,3502
W 31 St & 7 Ave,E 25 St & 2 Ave,3500
8 Ave & W 52 St,9 Ave & W 45 St,3499
W 67 St & Broadway,Broadway & W 60 St,3497
W 33 St & 7 Ave,W 44 St & 5 Ave,3496
Grand Army Plaza & Central Park S,Central Park West & W 76 St,3495
Murray St & West St,Centre St & Chambers St,3493
Pershing Square North,Broadway & W 41 St,3493
Broadway & W 32 St,E 17 St & Broadway,3492
Grand Army Plaza & Central Park S,Broadway & W 58 St,3484
N 8 St & Driggs Ave,Nassau Ave & Newell St,3482
Greenwich Ave & Charles St,W 21 St & 6 Ave,3481
E 47 St & Park Ave,Broadway & W 49 St,3481
W 20 St & 11 Ave,South End Ave & Liberty St,3480
6 Ave & W 33 St,W 38 St & 8 Ave,3479
Pershing Square North,11 Ave & W 41 St,3476
Greenwich Ave & 8 Ave,W 21 St & 6 Ave,3473
Broadway & W 41 St,6 Ave & W 33 St,3470
Fulton St & Broadway,Broadway & Battery Pl,3467
W 4 St & 7 Ave S,University Pl & E 14 St,3463
E 24 St & Park Ave S,E 25 St & 2 Ave,3460
MacDougal St & Prince St,University Pl & E 14 St,3459
1 Ave & E 18 St,Broadway & E 22 St,3457
S 4 St & Wythe Ave,Metropolitan Ave & Bedford Ave,3455
Columbus Ave & W 72 St,Central Park S & 6 Ave,3455
Forsyth St & Broome St,Stanton St & Chrystie St,3451
E 13 St & Avenue A,E 12 St & 3 Ave,3449
Amsterdam Ave & W 82 St,Amsterdam Ave & W 73 St,3446
E 20 St & FDR Drive,1 Ave & E 16 St,3441
E 24 St & Park Ave S,W 38 St & 8 Ave,3440
E 30 St & Park Ave S,W 31 St & 7 Ave,3438
Broadway & W 49 St,W 46 St & 11 Ave,3429
FDR Drive & E 35 St,E 47 St & Park Ave,3428
Broadway & W 49 St,W 33 St & 7 Ave,3425
5 Ave & E 29 St,W 31 St & 7 Ave,3422
1 Ave & E 78 St,E 84 St & 1 Ave,3422
Broadway & E 22 St,W 38 St & 8 Ave,3420
W 26 St & 10 Ave,W 24 St & 7 Ave,3418
E 12 St & 3 Ave,University Pl & E 8 St,3417
W 13 St & 7 Ave,University Pl & E 14 St,3415
Metropolitan Ave & Bedford Ave,Hope St & Union Ave,3414
8 Ave & W 33 St,Pershing Square South,3411
Carmine St & 6 Ave,Christopher St & Greenwich St,3404
W 49 St & 8 Ave,W 43 St & 10 Ave,3401
E 103 St & Lexington Ave,E 102 St & 1 Ave,3397
W 18 St & 6 Ave,W 31 St & 7 Ave,3396
5 Ave & E 73 St,Broadway & W 60 St,3394
Kent Ave & N 7 St,Kent Ave & N 7 St,3391
W 24 St & 7 Ave,Broadway & E 22 St,3390
Kent Ave & S 11 St,Broadway & Roebling St,3389
Vesey Pl & River Terrace,Greenwich St & W Houston St,3388
Broadway & W 49 St,E 48 St & 3 Ave,3387
Pershing Square North,E 31 St & 3 Ave,3385
Lafayette St & E 8 St,St Marks Pl & 1 Ave,3384
Grand St & Elizabeth St,Columbia St & Rivington St,3383
Grand St & Greene St,Grand St & Elizabeth St,3379
E 25 St & 2 Ave,E 15 St & 3 Ave,3378
W 82 St & Central Park West,Central Park West & W 85 St,3377
Stagg St & Union Ave,Metropolitan Ave & Meeker Ave,3377
12 Ave & W 40 St,Riverside Dr & W 72 St,3374
E 10 St & Avenue A,E 10 St & Avenue A,3371
5 Ave & E 78 St,Central Park West & W 72 St,3371
Broadway & E 14 St,E 6 St & Avenue B,3371
Greenwich St & W Houston St,12 Ave & W 40 St,3370
W 27 St & 7 Ave,W 15 St & 7 Ave,3364
University Pl & E 14 St,MacDougal St & Prince St,3361
South End Ave & Liberty St,W 20 St & 11 Ave,3360
W 14 St & The High Line,West St & Chambers St,3359
5 Ave & E 88 St,Grand Army Plaza & Central Park S,3358
W 56 St & 10 Ave,9 Ave & W 45 St,3356
Central Park North & Adam Clayton Powell Blvd,Broadway & W 60 St,3355
Water - Whitehall Plaza,South End Ave & Liberty St,3354
Centre St & Chambers St,Old Fulton St,3353
Broadway & E 22 St,1 Ave & E 18 St,3351
Broadway & E 22 St,W 15 St & 7 Ave,3345
1 Ave & E 16 St,E 25 St & 1 Ave,3345
E 17 St & Broadway,E 10 St & Avenue A,3344
Canal St & Rutgers St,Madison St & Montgomery St,3342
9 Ave & W 22 St,W 16 St & The High Line,3339
Vernon Blvd & 50 Ave,Greenpoint Ave & Manhattan Ave,3337
Grand Army Plaza & Central Park S,Central Park West & W 68 St,3333
E 24 St & Park Ave S,Pershing Square South,3332
W 21 St & 6 Ave,Greenwich Ave & 8 Ave,3328
W 33 St & 7 Ave,W 24 St & 7 Ave,3327
Riverside Dr & W 82 St,Riverside Dr & W 82 St,3326
W 67 St & Broadway,Amsterdam Ave & W 73 St,3325
Pershing Square North,E 23 St & 1 Ave,3322
E 33 St & 2 Ave,Pershing Square North,3320
Pershing Square North,E 20 St & 2 Ave,3318
Forsyth St & Broome St,Henry St & Grand St,3317
E 24 St & Park Ave S,E 25 St & 1 Ave,3316
W 43 St & 6 Ave,W 43 St & 10 Ave,3316
E 10 St & Avenue A,E 12 St & 3 Ave,3315
E 41 St & Madison Ave,Broadway & W 32 St,3313
Christopher St & Greenwich St,W 13 St & Hudson St,3307
E 25 St & 2 Ave,St Marks Pl & 2 Ave,3306
Columbus Ave & W 95 St,W 84 St & Columbus Ave,3301
West St & Chambers St,W 34 St & 11 Ave,3301
Henry St & Grand St,Forsyth St & Broome St,3300
Columbus Ave & W 72 St,Columbus Ave & W 72 St,3296
Broadway & W 60 St,Central Park West & W 68 St,3291
W 33 St & 7 Ave,E 47 St & Park Ave,3289
Broadway & W 32 St,Broadway & E 22 St,3288
W 49 St & 8 Ave,E 48 St & 5 Ave,3287
Metropolitan Ave & Bedford Ave,Metropolitan Ave & Meeker Ave,3285
W 38 St & 8 Ave,6 Ave & W 33 St,3284
Lafayette St & Jersey St,Suffolk St & Stanton St,3281
Kent Ave & N 7 St,Bedford Ave & Nassau Ave,3280
Grand Army Plaza & Central Park S,Central Park West & W 85 St,3279
Lexington Ave & E 24 St,W 21 St & 6 Ave,3279
Broadway & W 41 St,Broadway & E 22 St,3274
E 47 St & Park Ave,E 55 St & 3 Ave,3271
E 10 St & Avenue A,E 17 St & Broadway,3270
Lispenard St & Broadway,Barclay St & Church St,3270
E 17 St & Broadway,E 19 St & 3 Ave,3266
Broadway & W 60 St,5 Ave & E 78 St,3265
Macon St & Nostrand Ave,Putnam Ave & Throop Ave,3265
E 25 St & 2 Ave,1 Ave & E 16 St,3263
12 Ave & W 40 St,Riverside Dr & W 82 St,3262
University Pl & E 14 St,MacDougal St & Washington Sq,3261
Broadway & W 60 St,W 64 St & West End Ave,3261
9 Ave & W 22 St,W 15 St & 7 Ave,3258
W 42 St & Dyer Ave,Pershing Square North,3257
Carmine St & 6 Ave,Mott St & Prince St,3256
Broadway & W 41 St,E 47 St & Park Ave,3256
Great Jones St,E 7 St & Avenue A,3255
Christopher St & Greenwich St,Christopher St & Greenwich St,3254
Putnam Ave & Throop Ave,Macon St & Nostrand Ave,3253
1 Ave & E 78 St,E 77 St & 3 Ave,3252
Christopher St & Greenwich St,Mercer St & Bleecker St,3251
Pershing Square North,1 Ave & E 30 St,3250
Broadway & E 14 St,St Marks Pl & 2 Ave,3248
W 20 St & 7 Ave,E 17 St & Broadway,3248
E 33 St & 2 Ave,E 32 St & Park Ave,3246
W 38 St & 8 Ave,Pershing Square South,3246
Liberty St & Broadway,Broad St & Bridge St,3245
Lexington Ave & E 29 St,Broadway & W 29 St,3243
1 Ave & E 68 St,E 84 St & 1 Ave,3236
Macon St & Nostrand Ave,Monroe St & Tompkins Ave,3236
South End Ave & Liberty St,Water - Whitehall Plaza,3235
Broadway & E 14 St,LaGuardia Pl & W 3 St,3233
E 7 St & Avenue A,E 17 St & Broadway,3228
E 55 St & 3 Ave,W 41 St & 8 Ave,3227
Willoughby St & Fleet St,Carlton Ave & Park Ave,3226
E 6 St & Avenue B,Great Jones St,3226
Broadway & E 14 St,Cleveland Pl & Spring St,3224
E 48 St & 5 Ave,W 53 St & 10 Ave,3223
Pershing Square North,W 37 St & 5 Ave,3222
Broadway & W 29 St,1 Ave & E 30 St,3222
9 Ave & W 22 St,W 20 St & 7 Ave,3220
Broadway & E 22 St,W 22 St & 8 Ave,3220
W 42 St & 8 Ave,Pershing Square North,3219
E 13 St & Avenue A,E 17 St & Broadway,3219
12 Ave & W 40 St,11 Ave & W 27 St,3213
9 Ave & W 18 St,8 Ave & W 31 St,3208
E 24 St & Park Ave S,W 41 St & 8 Ave,3207
Kent Ave & S 11 St,Kent Ave & N 7 St,3207
E 20 St & 2 Ave,St Marks Pl & 2 Ave,3205
Carmine St & 6 Ave,Greenwich St & W Houston St,3200
Clinton St & Union St,Clinton St & Joralemon St,3196
W 27 St & 7 Ave,11 Ave & W 27 St,3196
5 Ave & E 78 St,Central Park North & Adam Clayton Powell Blvd,3195
E 17 St & Broadway,Lafayette St & E 8 St,3194
12 Ave & W 40 St,Riverside Blvd & W 67 St,3190
Great Jones St,Cleveland Pl & Spring St,3188
Vesey Pl & River Terrace,West St & Chambers St,3188
Broadway & W 41 St,Pershing Square South,3188
Lexington Ave & E 24 St,E 17 St & Broadway,3187
Howard St & Centre St,Great Jones St,3186
E 2 St & Avenue C,Great Jones St,3184
West Drive & Prospect Park West,Plaza St West & Flatbush Ave,3183
8 Ave & W 52 St,8 Ave & W 52 St,3181
West St & Chambers St,W 14 St & The High Line,3181
E 23 St & 1 Ave,Pershing Square North,3181
Lafayette St & E 8 St,Broadway & E 22 St,3179
Centre St & Chambers St,Barclay St & Church St,3178
Carmine St & 6 Ave,Cleveland Pl & Spring St,3178
Bayard St & Baxter St,Barclay St & Church St,3177
Riverside Dr & W 72 St,Riverside Dr & W 72 St,3176
E 39 St & 3 Ave,W 33 St & 7 Ave,3175
1 Ave & E 68 St,E 85 St & 3 Ave,3175
Riverside Dr & W 72 St,12 Ave & W 40 St,3173
W 16 St & The High Line,12 Ave & W 40 St,3170
W 21 St & 6 Ave,Bank St & Hudson St,3170
University Pl & E 14 St,E 13 St & Avenue A,3169
W 63 St & Broadway,Amsterdam Ave & W 73 St,3169
Picnic Point,Yankee Ferry Terminal,3169
12 Ave & W 40 St,Christopher St & Greenwich St,3168
N 8 St & Driggs Ave,Banker St & Meserole Ave,3167
W 25 St & 6 Ave,E 17 St & Broadway,3166
E 20 St & Park Ave,1 Ave & E 18 St,3165
E 55 St & 3 Ave,E 47 St & Park Ave,3159
N 8 St & Driggs Ave,Driggs Ave & Lorimer St,3158
W 16 St & The High Line,8 Ave & W 31 St,3158
W 22 St & 10 Ave,W 20 St & 7 Ave,3157
W 33 St & 7 Ave,1 Ave & E 30 St,3157
West St & Chambers St,W 22 St & 10 Ave,3157
Washington St & Gansevoort St,Greenwich Ave & 8 Ave,3156
6 Ave & W 33 St,W 43 St & 6 Ave,3156
Broadway & W 51 St,E 48 St & 5 Ave,3155
South End Ave & Liberty St,Washington St & Gansevoort St,3153
Bedford Ave & Nassau Ave,Kent Ave & N 7 St,3152
Carmine St & 6 Ave,Great Jones St,3151
W 52 St & 5 Ave,Broadway & W 32 St,3150
Great Jones St,Sullivan St & Washington Sq,3146
Lafayette St & E 8 St,W 21 St & 6 Ave,3144
MacDougal St & Washington Sq,University Pl & E 14 St,3143
Suffolk St & Stanton St,Mott St & Prince St,3141
Banker St & Meserole Ave,Kent Ave & N 7 St,3139
W 20 St & 11 Ave,W 20 St & 11 Ave,3136
E 20 St & FDR Drive,W 21 St & 6 Ave,3135
Broadway & W 41 St,W 33 St & 7 Ave,3132
E 17 St & Broadway,E 13 St & Avenue A,3131
W 20 St & 11 Ave,Greenwich Ave & 8 Ave,3130
E 45 St & 3 Ave,W 41 St & 8 Ave,3130
Central Park West & W 72 St,Broadway & W 58 St,3129
W 27 St & 7 Ave,W 18 St & 6 Ave,3128
Yankee Ferry Terminal,Picnic Point,3127
W 49 St & 8 Ave,E 47 St & Park Ave,3126
Milton St & Franklin St,N 6 St & Bedford Ave,3126
11 Ave & W 41 St,Broadway & W 41 St,3121
E 17 St & Broadway,E 11 St & 2 Ave,3121
Central Park West & W 72 St,Central Park West & W 76 St,3119
6 Ave & W 33 St,Pershing Square South,3117
Christopher St & Greenwich St,South End Ave & Liberty St,3113
Central Park S & 6 Ave,Columbus Ave & W 72 St,3109
South St & Whitehall St,Peck Slip & Front St,3103
E 10 St & Avenue A,Great Jones St,3101
Mercer St & Bleecker St,Carmine St & 6 Ave,3097
N 8 St & Driggs Ave,Milton St & Franklin St,3096
E 20 St & FDR Drive,E 17 St & Broadway,3093
W 42 St & Dyer Ave,W 56 St & 10 Ave,3091
1 Ave & E 30 St,E 32 St & Park Ave,3091
E 17 St & Broadway,E 20 St & FDR Drive,3091
Broadway & W 24 St,E 17 St & Broadway,3091
E 17 St & Broadway,E 7 St & Avenue A,3091
Washington St & Gansevoort St,Washington St & Gansevoort St,3090
Pershing Square North,Broadway & W 24 St,3090
Pershing Square South,Broadway & E 22 St,3090
Carmine St & 6 Ave,Broadway & E 22 St,3088
W 22 St & 10 Ave,8 Ave & W 31 St,3086
11 Ave & W 59 St,W 42 St & 8 Ave,3086
Riverside Blvd & W 67 St,Riverside Blvd & W 67 St,3081
Central Park S & 6 Ave,Grand Army Plaza & Central Park S,3080
St Marks Pl & 2 Ave,E 7 St & Avenue A,3078
Broadway & W 60 St,9 Ave & W 45 St,3075
W 24 St & 7 Ave,11 Ave & W 27 St,3074
1 Ave & E 30 St,W 41 St & 8 Ave,3074
